planets,set distances
Kepler-69 c,0.2297480296474997
Kepler-389 c,0.09359875238500807
Kepler-226 b,0.17837883099619017
Kepler-300 b,0.22981741163041902
Kepler-58 c,12.664223639036235
Kepler-190 c,0.6540375311466285
Kepler-142 d,0.2498238211023991
Kepler-203 c,0.048367184283143155
Kepler-377 b,0.3151602947381453
HD 40307 e,0.008912916583319917
Kepler-363 d,0.2524504545481777
Kepler-160 b,0.319485491248511
Kepler-345 b,0.10499743546956997
OGLE-2013-BLG-0341L b,0.0788467611533366
Kepler-213 c,0.06831766360404298
Kepler-394 b,0.45765394696326145
HD 136352 d,0.07757342250691991
Kepler-223 b,0.33662752283773295
Kepler-220 e,0.055186867056054884
Kepler-194 d,0.5036616222733713
Kepler-85 e,0.12850219866547957
Kepler-201 b,0.10150970884285493
Kepler-187 b,0.2848753245500766
Kepler-243 b,0.12150431351726403
Kepler-277 c,0.2679244571860142
Kepler-70  b,1.7086755619309848
Kepler-276 c,0.17136328270476672
Kepler-157 c,0.1272472160505267
Kepler-332 c,0.4746954839898657
Kepler-20 b,0.020320698551356688
Kepler-141 c,0.2509219198295769
Kepler-144 b,1.0179638998639042
Kepler-334 b,0.3003393740767048
Kepler-373 b,0.18146197859456045
Kepler-138 c,0.1435462010040899
Kepler-211 c,0.5360451830039186
Kepler-42 c,0.29036283093379567
Kepler-352 c,0.2832656419274543
GJ 3634 b,0.04774875778194852
Kepler-331 b,0.1213398807090324
Kepler-402 c,0.2522061373270855
Kepler-37 b,0.09792322318663249
Kepler-137 c,0.1700203463622329
Kepler-398 b,0.0787120293854812
Kepler-354 b,0.07975773481116229
Kepler-162 b,0.09091016985681809
Kepler-255 b,0.49798392771157135
Kepler-282 d,0.9676494249299157
Kepler-249 b,0.062312391078179374
Kepler-38(AB) b,0.8330333492913924
Kepler-292 d,0.037174879276089944
Kepler-81 d,0.11475089701677348
Kepler-193 b,0.12368620798789959
Kepler-298 b,0.09920215820876807
Kepler-353 c,0.1042273890662349
Kepler-271 b,0.5272464996549387
Kepler-329 b,0.3464509170417177
Kepler-381 c,0.32999189174971083
Kepler-283 c,0.2938165979359785
Kepler-277 b,0.18859243728238048
HD 40307 f,0.14846926531522783
Kepler-235 d,0.07017855439004311
Kepler-42 b,0.032661277262044104
Kepler-349 b,0.2992215102785716
PSR 1719-14 b,0.16992515173357492
Kepler-173 b,0.25149249600796114
Kepler-83 b,0.14267040565402483
Kepler-399 d,0.1919872568839487
Kepler-125 c,0.2843204737889791
Kepler-322 c,0.19420788327962882
Kepler-288 b,0.13498902963953924
Kepler-289 b,0.179241996328
Kepler-387 c,0.39558799732228583
Kepler-171 b,0.2719647497075789
Kepler-301 b,0.42720010154750004
Kepler-265 b,0.3548878659445871
Kepler-239 b,0.09788298240653
Kepler-136 b,0.1439273355108097
Kepler-130 d,0.07902138928927689
Kepler-164 d,0.43264769045792384
Kepler-120 c,0.07374662209540238
Kepler-296 e,0.2287981452575371
Kepler-200 c,0.14122246833088653
Kepler-249 c,0.07576201124156229
Kepler-186 b,0.07324774223964826
Kepler-298 d,0.31018467833039887
Kepler-376 b,0.5610756888362852
Kepler-384 c,0.14474470296549116
Kepler-236 c,0.16617025421289294
Kepler-230 c,0.3869472008441964
Kepler-138 d,0.08352422494598319
Kepler-339 c,0.11438650543961427
Kepler-386 c,0.062088325510577254
Kepler-185 c,0.20855168544262373
Kepler-231 c,0.1591516727865906
Kepler-378 c,0.24384528696962682
Kepler-269 c,0.6355148644636813
Kepler-81 c,0.25382897809630006
Kepler-184 b,0.022260629613476184
Kepler-185 b,0.21970822650837438
Kepler-373 c,0.12802324684642513
Kepler-350 b,0.2063591989054069
Kepler-10 c,0.20911659437375732
Kepler-308 b,0.1311179653386607
Kepler-364 c,0.11420203779109053
Kepler-253 b,0.6632953414488594
Kepler-246 c,0.3104393396231141
Kepler-55 d,0.06468680047547809
Kepler-164 b,0.15816319147979824
Kepler-217 b,0.7333712252096857
Kepler-332 b,0.07187528634678872
Kepler-208 b,0.11987974027032416
Kepler-205 c,0.1557042542775511
Kepler-20 e,0.5673950670026547
Kepler-224 e,0.004368756952828007
Kepler-299 d,0.09751730515231638
Kepler-132 c,0.11944942761597956
Kepler-282 b,0.2473422862876105
Kepler-341 e,0.040109524782749206
Kepler-400 c,0.3129353734583978
Kepler-236 b,0.066196585239673
Kepler-306 e,0.12384715927701981
Kepler-300 c,0.24691030575205836
Kepler-271 c,0.10192936447499201
Kepler-220 c,0.13078028131243943
Kepler-107 b,0.735339652908623
Kepler-9 d,1.021115063466391
Kepler-85 d,0.2819643311998312
Kepler-228 b,1.121879125298
Kepler-55 e,0.07814728877407062
Kepler-292 f,0.21959732114508093
Kepler-215 b,0.3392612150182273
Kepler-286 b,0.18915794534697616
Kepler-377 c,0.16815381082690434
Kepler-214 c,0.2398436056207291
Kepler-387 b,0.16289233950009568
Kepler-133 b,0.7251168973446408
Kepler-331 d,0.27191631119668835
Kepler-186 f,0.09819648862937912
Kepler-128 b,2.5361746496569744
Kepler-197 c,0.4298650253609846
HD 181433 b,0.15850757323107414
Kepler-360 b,0.48373857171148976
Kepler-172 d,0.16885831463924383
Kepler-311 c,0.18696616761572968
Kepler-301 c,0.3363239981626295
Kepler-238 b,0.2366067770505615
Kepler-364 b,0.11615073571190317
Kepler-338 c,0.24265524486116496
Kepler-342 b,0.2509231529290488
Kepler-107 c,0.3857689123590352
Kepler-54 b,0.143707638452587
Kepler-383 c,0.07587665017979807
Kepler-226 d,0.2150130100910539
Kepler-320 b,0.23815460539891645
Kepler-52 d,0.18287312368922037
Kepler-320 c,0.04501907448241513
Kepler-378 b,0.38561868009057493
Kepler-172 b,0.7376696936306947
Kepler-260 c,0.1940011934817899
HD 154088 b,0.0702119476861945
Kepler-262 c,0.09461108720283198
Kepler-295 b,0.08838475958070939
Kepler-127 b,0.07430256907453672
Kepler-188 b,0.37885430022008837
Kepler-20 f,0.35075445261392946
CoRoT-7 b,0.7011891741344174
Kepler-341 b,0.13595905904161967
Kepler-203 d,0.34427164377377956
Kepler-371 b,0.11164497647916355
Kepler-382 b,0.020089073136647335
Kepler-33 b,1.0645618651669875
KIC-5522786 b,0.006942149952314786
Kepler-395 c,0.07691968033195529
Kepler-371 c,0.1586674417123038
Kepler-244 d,0.04098341324412244
Kepler-321 c,0.04141262525190788
Kepler-343 c,0.08222016055846712
Kepler-301 d,0.07932404704588339
Kepler-196 b,0.11967023432935622
Kepler-336 c,0.049440885246792056
Kepler-124 b,0.10137523485505252
Kepler-197 b,1.2979917568846593
Kepler-207 c,0.10585309256619124
Kepler-53 d,0.21220195211220683
Kepler-24 b,0.06627912337583845
Kepler-20 c,0.8065873114180416
Kepler-261 c,0.07599973885657821
55 Cnc e,0.49095884629078024
Kepler-224 d,0.08410665967661332
Kepler-393 b,0.2868814927861121
Kepler-399 b,0.47221721145868323
Kepler-80 d,0.040554224288237295
Kepler-286 e,0.17201719939881863
Kepler-90 b,0.4054070916849116
Kepler-167 b,0.5139763038708253
Kepler-168 b,0.6345609606011844
Kepler-262 b,0.6705246148254324
Kepler-381 b,0.12151333286007616
Kepler-69 b,0.1423803576163259
Kepler-208 c,0.6692993100444857
Kepler-382 c,0.3508032934946636
Kepler-354 d,0.04263519492608071
Kepler-120 b,0.19680685191143615
Kepler-10 b,1.4762926352103134
Kepler-356 b,0.4985838199915558
Kepler-395 b,0.034118179484824186
Kepler-84 b,0.22043510677061387
Kepler-140 c,0.03541822771843569
Kepler-256 d,0.3660420714128255
Kepler-70 c,0.5764348549871707
Kepler-326 d,0.11488249274851386
Kepler-384 b,0.3968484179149259
Kepler-235 c,0.267546992275113
Kepler-233 b,0.16325674001070659
KOI-1843 b,1.2751622440729962
Kepler-204 c,0.15555864376662204
Kepler-333 b,0.035044197648091295
Kepler-286 c,0.6475693554370634
Kepler-319 b,0.12994054842780628
Kepler-161 c,0.163570649309857
HD 1461 c,0.25109815560417914
Kepler-116 c,0.14190448444089201
Kepler-65 d,0.17626206892853125
Kepler-114 d,0.16209038079317545
Kepler-286 d,0.326335637639068
Kepler-37 d,0.16755259901196404
Kepler-224 b,0.5517063310829646
Kepler-171 d,0.1660724038878325
Kepler-274 b,0.08655333749034641
Kepler-276 d,0.2053367514603217
Kepler-55 c,0.09535744822243099
Kepler-163 c,0.11362740487501481
Kepler-159 b,0.1686842533934365
Kepler-158 c,0.29927086621683324
Kepler-107 d,0.1243909101147429
Kepler-354 c,0.19317134777750436
Kepler-251 b,0.14184565172809513
Kepler-220 d,0.12836163363782424
Kepler-49 e,0.0692812444236019
Kepler-196 c,0.05356041390962855
HD 1461 b,0.14951270485513665
Kepler-260 b,0.28535524688406205
Kepler-290 b,0.21883026083085877
Kepler-304 c,0.021129665476628676
Kepler-83 d,0.035776230941691835
Kepler-84 d,0.5706536633726789
Kepler-347 c,0.06107949936039427
Kepler-105 c,0.26185197191117815
Kepler-11 b,0.3800318571147802
Kepler-169 b,0.8703906831229321
Kepler-50 c,0.29433163467710677
Kepler-110 c,0.24990533655502153
Kepler-390 b,0.8629090116779407
Kepler-83 c,0.1204843374926699
Kepler-402 d,0.4462656996351479
HD 215152 c,0.5235797706199252
Kepler-369 c,0.06691252268202788
Kepler-356 c,0.16791181167434463
Kepler-163 b,0.12128846610383336
GJ 176 b,0.14807137265023196
Kepler-367 b,0.07839698316570873
Kepler-235 e,0.2952591754602531
Kepler-275 b,0.2758937008722934
Kepler-245 c,0.18233690575756328
KOI-2700 b,0.6208347332522176
Kepler-179 b,0.4395006156464259
Kepler-237 b,0.0917171655480076
Kepler-114 c,0.8638937080432575
Kepler-62 b,0.08226478055059475
Kepler-338 b,0.1107037741760846
Kepler-355 b,0.21889052655223296
Kepler-376 c,0.32898839954674314
Kepler-372 c,0.14256158178667463
Kepler-403 c,0.120296316413962
Kepler-78 b,1.1127435347762735
Kepler-195 b,0.18357440177328574
Kepler-112 b,0.16798468104804656
Kepler-398 c,0.235641847697615
Kepler-329 c,0.033021358147866664
GJ 832 c,0.054598750301053954
Kepler-151 c,0.09231093028112647
Kepler-326 b,0.7980392376342104
Kepler-374 b,0.12862187270111156
Kepler-367 c,0.029383818536843884
Kepler-267 b,0.17166330991028395
Kepler-225 c,0.1853476926008463
Kepler-48 c,0.2221131483641204
Kepler-141 b,0.41536912733964304
Kepler-150 b,0.33077666022047986
